 0, 615.56177,-3.2527859,-5.0874727, 1.8346868,-5.9399902,0.85251747, 9815.2637  0.023666562, 1.0188213
  720000, 586.04334,-3.4417382,-5.1884451, 1.7467069,-6.0093315,0.82088634, 9706.5063  0.070840809, 1.0302368
  730000, 588.77769, -3.402672,-5.1575287, 1.7548567,-5.9639101,0.80638144,  9809.177,0.13371016, 1.0194535
  740000, 585.28807,-3.3973576,-5.1418134, 1.7444558,-5.9808496,0.83903619,  9735.076,0.10401414, 1.0272133
  750000, 585.20937, -3.389834,-5.1340553, 1.7442212,-5.9604424,0.82638717, 9731.1947,0.16013836, 1.0276231
  760000, 579.44751,-3.4343101,-5.1613581,  1.727048,  -5.98826,0.82690196, 9719.3005,0.12673597, 1.0288806
  770000, 586.78732,-3.4136206, -5.162545, 1.7489243,-5.9996565,0.83711156, 9739.9738  0.060424585, 1.0266968
  780000, 575.84436,-3.4475895,-5.1638983, 1.7163088,-6.0069327, 0.8430344, 9702.3398  0.013058988, 1.0306792
  790000, 582.74395,-3.4237989,-5.1606719, 1.7368731,-5.9867465,0.82607462, 9736.9931  0.095605299, 1.0270111
  800000, 582.49439,-3.4655749,-5.2017041, 1.7361292,-6.0261067,0.82440263, 9662.1807,0.16299553, 1.0349631
  810000, 593.26304,-3.4218343,-5.1900596, 1.7682253,-6.0052996,0.81523994, 9745.6154,0.21015192, 1.0261025
  820000, 584.55803,-3.4256417,-5.1679216, 1.7422799,  -5.98084,0.81291832, 9757.2196,0.10592066, 1.0248821
  830000, 574.21619,-3.4517528,-5.1632088,  1.711456,-5.9836144,0.82040561, 9688.3943,0.23438649, 1.0321628
  840000, 584.10228,-3.4238353,-5.1647568, 1.7409216,-6.0010749,0.83631808, 9717.8503 -0.012592405, 1.0290342
  850000, 572.79759,-3.4713728,-5.1786007, 1.7072278,-6.0077131, 0.8291125, 9703.9011,0.11545435, 1.0305134
  860000, 576.92859,-3.4339833,-5.1535236, 1.7195403,-5.9571668,0.80364324, 9746.8121,0.15592172, 1.0259765
  870000,  587.7357,-3.4556164,-5.2073674,  1.751751,-6.0274785,0.82011117, 9701.0511,0.11459926, 1.0308161
  880000,  583.7746,-3.4546538,-5.1945987, 1.7399449,-6.0234638,0.82886517, 9722.1423  0.066552775, 1.0285799
  890000, 589.68586,-3.4312957,-5.1888591, 1.7575634,-6.0136596, 0.8248005,  9761.052  0.057197337, 1.0244797
